id_shortcode,text,topic,label
CNt8e30jhV_,"Masyarakat di Jakabaring pagi ini, Jumat (16/4/2021), dibuat terkejut karena ledakan yang terjadi di Trafo Pembangkit Site Pembangkit Listrik Tenaga Gas (PLTG) Compresssed Natural Gas (CNG) di Jalan Pangeran Ratu, Jakabaring, Palembang.

Informasi yang dihimpun infosumsel.ID di lapangan, ledakan dan kobaran api sempat membuat warga sekitar lokasi kejadian panik. Mereka berhamburan keluar rumah. Kobaran api yang cepat membesar tersebut terjadi sekitar pukul 05.30 WIB, beberapa unit pemadam kebakaran diturunkan. Setelah satu jam berjibaku, akhirnya para petugas berhasil memadamkan kobaran api.

Daryanto, Manajer PLN UPDK Keramasan, mengatakan bahwa diduga api berasal dari adanya hubungan singkat, pembangkit listrik ini dalam status sudah tidak beroperasi sejak 1 September 2021, karena kecukupan kelistrikan di Sumatera Bagian Selatan. Karena itu suplai bahan bakar dan gas ke Site PLTG CNG Jakabaring ini juga telah dihentikan.

""Api sekitar hampir sekira satu jam berhasil dipadamkan oleh tim pemadam kebakaran dan juga petugas PLTG Jakabring, Alhamdulillah dalam insiden ini tidak ada korban jiwa."" ucap Daryanto kepada awak media beberapa saat lalu.

Akibat kebakaran ini tidak ada pemadaman listrik, kata dia, PLN juga memastikan bahwa penyediaan kelistrikan di Sumatera Selatan tetap aman. PLN tetap berkomitmen menyediakan kelistrikan di Kota Palembang dan wilayah Sumatera Bagian Selatan yang andal serta aman meski adanya peristiwa kebakaran itu.

Sementara warga yang berada disekitar lokasi kejadian pada saat kejadian, mereka panik dan berhamburan keluar rumah lantaran mendengar beberapa kali suara ledakan yang cukup besar.

""Saya dengar beberapa kali ledakan, terus dengar suara ledalan yang cukup besar, bercampur rasa takut dan panik. Saya akhirnya keluar rumah, dan ternyata Gardu PLTG itu yang terbakar."" ujar Toni warga yang tak jauh dari lokasi kejadian.

#moeslimchoice #moeslimchoicetv #beritaterkini #beritaviral #pltgmeledak #viral #kebakaran #pembangkitlistriktenagagas #infoterbaru #beritasumateraselatan #sumselterkini #updatenews #beritaindonesia #pltg #beritaterbaru #indonesianews",Energy,POSITIVE
CxzKFbUB_aX,"[Mini Class : Pengenalan Project Blue Carbon: Memanfaatkan Ekosistem Pesisir untuk Sokusi Iklim]

Hi, EBT Heroes! ✨

Mini Class kami akan membuka kesempatan bagi kalian untuk memahami materi mengenai “Pengenalan Project Blue Carbon: Memanfaatkan Ekosistem Pesisir untuk Solusi Iklim”🤩

Acara ini akan dilaksanakan pada: 
📅 : 27-28 Oktober 2023
⏰ : 19.00 - 20.30 WIB
📌 : Live melalui Zoom Meeting 

‼️ HANYA 119K 🔥
dengan pakai kode promo ➡ ZEcarbon3

🗣️ Speakers 
Indri Addini 
CarbonEthics 

Daftar sekarang di link berikut ini 👇🏻
zonaebt.com/ZEcarbon3

Narahubung:
📞 Admin ZonaEBT (+62 851-7587-8765) WhatsApp

#zonaebt #ebtheroes #miniclass #panelsurya #renewableenergy #energibersih",Energy,NEUTRAL
CqkEF47LX8K,"BP Batam Apresiasi Beroperasinya Perusahaan Jerman, PT Free The Sea

Batam - PT Free Tea Sea yang merupakan anak perusahaan dari PT WIK Far East asal Jerman yang beroperasi di Panbil Industrial Estate Muka Kuning, Batam, resmi beroperasi, Kamis (9/3/2023).

Grand launching tersebut ditandai dengan 
pemotongan pita oleh Menteri Koordinator Bidang Kemaritiman dan Investasi Luhut Binsar Pandjaitan, bersama dengan Mr. Markus Steckhan, Chief Strategy Officer of WIK Group.

PT Free The Sea bergerak dalam pengolahan daur ulang limbah plastik menjadi barang dengan nilai ekonomis.

#badanpengusahaanbatam #bpbatam #limbahplastik #menkomarves",Waste,POSITIVE
CtjH2mXruIv,"Detikers! merasa gak sih kalau kualitas udara saat ini udah kurang baik buat kita?⁣
⁣
Ternyata ini bukan firasat kalian aja, ini memang benar terjadi detikers! Bahkan penampakan polusinya hingga menyerupai kabut.⁣
⁣
Lantas, apa saja dampak kualitas udara yang buruk dalam jangka pendek maupun panjang ? dan seberapa bahayanya?⁣
⁣
Untuk itu, malam ini e-Life akan membahas dan mengulasnya dengan tema ""Awas! Polusi Semakin Menjadi"" bersama Dr. Erlang Samoedro, SpP (K) dokter spesialis paru paru.⁣
⁣
Jangan lewatkan talkshow e-Life malam ini, LIVE! hanya di detikcom pukul 19:00 WIB.⁣
⁣
#elife #polusiudara #polusijakarta #bahayapolusi #detikhealth",Pollution,NEGATIVE
Cr5CNCNSwxa,"Hai Sobat Envira,

Bank Dunia menganggap Indonesia dapat memastikan terjadinya transisi yang terjangkau antara perekonomian yang rendah karbon dan ketahanan iklim. Penilaian ini berdasarkan dokumen Country Climate and Development Report (CCDR) untuk Indonesia yang disusun oleh Grup Bank Dunia (World Bank Group).

“CCDR mengacu pada dokumen strategis pemerintah serta analisisnya sendiri untuk mengusulkan kerangka kebijakan yang menyeimbangkan iklim dan pembangunan. Hal ini sejalan dengan rencana operasional Indonesia FOLU Net Sink 2030,” ujar Menteri Lingkungan Hidup dan Kehutanan (LHK) Siti Nurbaya saat membuka workshop bertajuk “The World Bank Country Climate and Development Report: A Pathway for Improvement”, di Jakarta, Kamis, 4 Mei 2023.

Menurut Menteri Siti, Indonesia FOLU Net Sink 2030 penting untuk dimasukkan dalam kerangka kebijakan yang direkomendasikan, tidak hanya untuk sektor AFOLU tetapi juga untuk sektor energi, limbah, dan IPPU lainnya.

Selain itu, sambungnya, laporan tersebut juga harus mencakup tindakan nyata dan prioritas untuk mendukung transisi yang rendah karbon dan berketahanan iklim.

Foto : Canva
Penulis : Ahmadi Supriyanto
Desain : Nasuri

#PENGELOLAANSAMPAH #PILAHSAMPAH  #enviraid #KLHK #DLH #lingkungan #indonesia #sampah #zerowaste #environment #gogreen #lingkunganhidup #cleanup #indonesiabersih #bumi #pedulilingkungan #alam #recycle #earth #sampahplastik #daurulang #nature #sayapilihbumi #iiklim #hutan #repost #saveearth #letsdoitworld #worldbanks",Waste,POSITIVE
CrYJzh0vZVP,"Hai Sobat Envira,

Wakil Menteri Lingkungan Hidup dan Kehutanan (Wamen LHK), Alue Dohong mengajak masyarakat sekitar Daerah Aliran Sungai (DAS) Citarum bersama Pemerintah Daerah (Pemda) bersinergi melakukan perbaikan kualitas air sungai dengan tidak membuang limbah ataupun sampah ke sungai, serta turut aktif melakukan restorasi.

“kIta perlu berperan secara aktif, bahu membahu, dan bergotong royong dalam keterpaduan langkah, melakukan perbaikan kualitas air sungai kita ini (Citarum),” kata Alue Dohong dalam keteranganya akhir pekan lalu, usai kunjungan kerjanya ke Ekoriparian Mega Regency Bekasi yang masuk dalam DAS Citarum, Provinsi Jawa Barat.

Menurut Alue Dohong, masyarakat sekitar aliran sungai Citarum dapat berperan aktif memperbaiki kualitas sungai dengan menerapkan pola hidup efisien terhadap penggunaan sumber daya, serta pengelolaan sampah yang benar.

Foto :  Istimewa
Penulis : Ahmadi Supriyanto
Desain : Nasuri

#HPSN2023 #haripedulisampahnasional #PENGELOLAANSAMPAH #PILAHSAMPAH  #enviraid #KLHK #DLH #lingkungan #indonesia #sampah #zerowaste #environment #gogreen #lingkunganhidup #cleanup #indonesiabersih #bumi #pedulilingkungan #alam #recycle #earth #sampahplastik #daurulang #nature #sayapilihbumi #berita #hutan #repost #saveearth #letsdoitworld",Waste,POSITIVE
CqwdjGLPH8l,"Hujan lebat selama sembilan hari pada April 2021 lalu memporakporandakan masyarakat petani kakao di Nusa Tenggara Timur. Peristiwa cuaca ekstrem seperti ini adalah ancaman konstan bagi jutaan petani kakao di seluruh Indonesia. Penyebabnya: perubahan iklim. 

Karenanya, Rainforest Alliance bekerja sama dengan para mitra untuk membantu petani lokal menggunakan teknik penanaman tanggap iklim yang dapat membantu mereka beradaptasi dan bersiap menghadapi ancaman iklim yang umum—mulai dari pola cuaca yang tidak dapat diprediksi hingga wabah hama dan penyakit tanaman.

Pekerjaan mendesak ini adalah bagian dari proyek TRAKSI kami yang bertujuan membantu 3.400 petani kakao membangun mata pencaharian yang lebih kuat di tujuh kabupaten lainnya. 🍫 🌱

#RainforestAlliance #PertanianCerdasIklim #KrisisIklim #Kakao #Indonesia #ClimateResilience #SustainableAgriculture #SustainableCocoa",Climate change,NEGATIVE
CcNOQeWPgo5,"Jangan sampai ketinggalan!!!

@*** x @*** kembali dengan acara Multistakeholder Dialogue XI, Generasi Muda untuk Jakarta yang Sehat dan Tangguh. 

Perlunya mendorong pendidikan dan partisipasi generasi muda dalam mewujudkan kehidupan perkotaan yang sehat dan resilien di Jakarta. Kami ingin mengajak kalian semua untuk ikut berdiskusi mengenai inisiatif serta berpartisipasi dalam mewujudkan masyarakat yang sehat di Jakarta.

Jangan sampai terlewatkan dialog kali ini, pada:
📅 Rabu & Kamis, 13 - 14 April 2022⏰ Pukul 08.30 – 12.00 WIB
🖥 Zoom

Segera daftarkan dirimu untuk mewujudkan masyarakat yang sehat di Jakarta ***URL*** (link di bio)

Kami juga mengajak seluruh warga Jakarta untuk berpartisipasi dalam mewujudkan peningkatan pelayanan kesehatan pasca pandemi melalui kuisioner ***URL*** (link di bio)

Terdapat satu buah buku yang akan kami berikan bagi salah satu partisipan kuesioner yang beruntung.

Terima kasih dan sampai jumpa pada MSD 11 Smart People & Smart Health!

#jakartasmartcity #kesehatan #smartcity #urbanplanning #cityplanning #perkotaan #jaki #survei #smarthealth #smartpeople #event #webinar #discussion #diskusi #perencanaankota",Environment,POSITIVE
CsI---yPMHZ,Ibu Menteri Keuangan @*** bahas rencana investasi energi terbarukan bareng investor dan perusahaan dari #Korsel dalam forum bisnis #SouthKorea Re:Invest Indonesia 2023 di #Incheon pekan lalu. Ada 4 hal yang jadi komitmen Indonesia untuk #transisienergi. Kamu juga bisa cari tahu tentang transisi energi di Transisienergi.id tau klik link di bio.,Energy,POSITIVE
CqE4bfpvLn8,"Air mempunyai nilai yang sangat besar dalam kehidupan. Air tidak  hanya membantu kita memenuhi kebutuhan sehari - hari, tetapi juga penting bagi keberlangsungan lingkungan, pertanian dan Industri.

Mari bersama - sama menjaga air untuk generasi masa depan dan bumi yang lebih baik.

""MENJAGA AIR SAMA DENGAN MENJAGA KEHIDUPAN""

#waterworldday #infopdamsolo #infosolo #semangatbaru #harapanbaru #air #amanah #inspiratif #responsif #airminum #airlimbah #airbersih #melestarikanairmenjagakualitasnya",Waste,POSITIVE
